59,70
53,68
58,66
56,67
59,69
58,64
60,68
58,67
56,66
58,66
59,65
59,65
59,66
59,66
59,65
58,66
59,66
59,66
59,66
59,65
59,65
58,66
59,65
59,65
58,66
58,66
59,65
58,66
59,65
59,65
59,66
59,66
59,66
60,67
59,66
60,67
59,66
54,70
57,69
58,67
60,67
59,66
59,66
58,67
59,66
59,66
58,67
58,67
58,67
59,66
55,68
55,68
55,69
51,70
52,70
51,71
50,71
50,71
50,72
54,68
54,68
55,68
55,68
54,68
54,68
54,68
54,66
53,67
55,67
53,68
55,67
54,66
54,66
54,68
55,67
54,68
55,67
54,66
53,67
55,67
54,66
53,67
53,67
55,67
54,68
52,68
53,67
53,66
52,67
53,67
53,67
53,66
52,67
53,67
52,67
52,67
51,68
51,66
50,67
52,67
51,68
51,66
51,68
50,67
51,68
51,66
51,66
51,68
50,67
50,67
51,68
50,68
51,68
50,66
51,68
50,67
49,68
49,68
50,67
49,68
47,68
48,68
46,69
43,70
48,70
44,71
47,69
44,71
45,70
45,70
42,72
43,72
43,70
49,66
42,70
41,72
48,66
45,68
45,68
46,69
45,68
44,69
45,69
44,68
44,69
44,69
45,69
44,69
44,69
43,68
44,68
43,69
42,69
44,69
44,68
44,69
44,69
44,68
44,69
44,69
43,68
44,69
44,69
44,69
42,69
44,69
44,69
43,70
43,68
44,69
44,68
43,67
42,68
42,69
42,69
42,69
44,68
44,68
43,68
43,68
43,68
42,69
44,69
43,68
44,68
44,68
44,68
44,69
44,68
46,67
44,68
45,68
45,68
46,67
45,68
45,68
46,67
45,68
45,68
46,67
45,68
45,68
45,68
45,69
45,69
44,70
46,69
46,69
46,69
45,69
46,69
46,69
47,68
46,69
47,68
47,68
49,68
49,68
50,67
50,68
50,67
50,67
50,68
51,68
50,68
50,69
50,68
50,68
50,68
50,68
50,68
50,68
50,68
50,68
50,68
50,69
50,69
50,69
50,68
50,68
50,69
49,69
47,70
46,71
52,65
50,66
50,66
52,65
51,66
51,66
50,66
50,66
50,66
50,66
47,67
49,66
51,66
50,66
51,65
50,66
50,64
50,64
50,66
50,64
49,65
50,64
50,64
49,65
50,62
51,61
50,62
50,62
50,62
50,62
50,62
50,62
50,62
50,62
49,61
49,61
50,61
50,62
49,61
50,62
50,62
50,61
50,62
50,61
50,61
50,61
50,61
50,59
50,59
50,61
50,59
50,59
49,60
50,61
50,59
49,60
48,60
49,59
50,59
50,59
50,59
49,59
49,59
49,60
49,59
48,60
49,59
50,58
49,59
48,58
50,58
49,58
48,58
50,58
49,58
49,58
50,58
50,58
50,57
50,57
49,58
49,56
50,55
48,57
50,57
50,57
50,55
50,57
50,57
49,55
49,55
50,54
49,55
50,55
49,55
49,54
49,54
49,54
50,54
49,54
49,55
50,54
50,54
50,54
49,54
50,54
49,54
49,54
49,54
49,52
49,52
50,53
48,52
50,51
49,52
50,51
49,51
48,52
50,51
49,51
49,52
49,51
50,51
50,50
49,51
50,51
50,50
48,50
48,50
48,50
50,50
49,49
50,48
50,48
48,49
48,49
50,48
50,48
50,48
50,48
50,48
48,49
50,48
48,49
48,48
49,47
48,48
48,48
50,47
48,48
49,48
49,47
49,47
49,47
50,46
48,46
50,46
49,45
50,46
49,45
48,46
49,45
50,46
48,46
49,45
50,44
49,44
50,44
49,44
49,44
50,44
50,44
49,44
49,44
48,45
49,44
50,44
50,44
49,45
49,44
49,44
49,44
49,44
50,44
49,44
49,44
50,44
